iter	Logloss
0	0.6100606905
1	0.5450560907
2	0.4906141235
3	0.448114021
4	0.4136728958
5	0.3853609364
6	0.3631705261
7	0.3459560782
8	0.3318879833
9	0.3200001917
10	0.310189615
11	0.3021021989
12	0.2953777486
13	0.2896603911
14	0.2849060327
15	0.2809331656
16	0.2775031357
17	0.2745363074
18	0.2719512709
19	0.2698006661
20	0.2679224311
21	0.2662150677
22	0.2648132457
23	0.2635642266
24	0.2624474171
25	0.2615105846
26	0.2605865304
27	0.2598396437
28	0.2590407413
29	0.2583889899
30	0.2577737139
31	0.2573040131
32	0.2568875803
33	0.2564736977
34	0.2560985863
35	0.2557925612
36	0.2554763913
37	0.2552243423
38	0.2549871742
39	0.2547421192
40	0.2545648406
41	0.2543932434
42	0.254199105
43	0.2540248363
44	0.2538921474
45	0.2537550829
46	0.2536485423
47	0.2535518144
48	0.2534370628
49	0.2533322441
50	0.2532557483
51	0.253164153
52	0.253075603
53	0.2530171068
54	0.2529369577
55	0.2528805698
56	0.2528109538
57	0.2527553756
58	0.2527000486
59	0.2526468014
60	0.2525916646
61	0.2525452711
62	0.2524948362
63	0.2524584273
64	0.2524177899
65	0.2523831723
66	0.2523519237
67	0.2523227285
68	0.2522983056
69	0.2522688911
70	0.25223862
71	0.2522087948
72	0.2521789766
73	0.2521643691
74	0.2521360816
75	0.2521082729
76	0.2520815827
77	0.2520628281
78	0.2520462165
79	0.2520263867
80	0.2520031548
81	0.251983022
82	0.2519616537
83	0.2519432423
84	0.2519266945
85	0.2519050819
86	0.251891808
87	0.2518701839
88	0.2518566978
89	0.2518402146
90	0.2518252401
91	0.2518054258
92	0.2517887043
93	0.2517751848
94	0.2517587744
95	0.2517494618
96	0.251736218
97	0.2517225717
98	0.2517104966
99	0.2516948739
100	0.2516810076
101	0.2516712814
102	0.2516622114
103	0.2516503677
104	0.2516401054
105	0.2516339326
106	0.2516247058
107	0.2516192374
108	0.2516096866
109	0.2515982278
110	0.2515888709
111	0.2515819778
112	0.2515689875
113	0.2515632993
114	0.2515535415
115	0.2515445858
116	0.2515327961
117	0.251524095
118	0.2515146534
119	0.2515054847
120	0.2514932118
121	0.2514826569
122	0.2514734954
123	0.2514626112
124	0.2514622457
125	0.2514595028
126	0.2514544769
127	0.2514516285
128	0.251444427
129	0.2514377668
130	0.2514354021
131	0.2514306848
132	0.2514247159
133	0.2514188125
134	0.2514160889
135	0.2514160887
136	0.2514067622
137	0.251404635
138	0.2513996825
139	0.2513937277
140	0.2513841691
141	0.2513810363
142	0.2513737613
143	0.2513637527
144	0.2513558442
145	0.2513495565
146	0.2513453587
147	0.2513423283
148	0.2513381486
149	0.2513322263
150	0.2513295501
151	0.25132955
152	0.2513227204
153	0.2513211946
154	0.2513175167
155	0.2513154684
156	0.2513079309
157	0.2513004732
158	0.2512945798
159	0.2512881043
160	0.2512852212
161	0.2512792384
162	0.2512716828
163	0.2512655116
164	0.2512570731
165	0.2512508267
166	0.2512450411
167	0.2512395333
168	0.2512310604
169	0.2512286604
170	0.2512213085
171	0.2512202003
172	0.2512132153
173	0.2512110064
174	0.2512076864
175	0.251205934
176	0.2512032088
177	0.2512021149
178	0.2511991842
179	0.2511950876
180	0.2511920225
181	0.2511871842
182	0.2511848217
183	0.2511785857
184	0.2511763402
185	0.2511654998
186	0.2511608259
187	0.251156805
188	0.2511507312
189	0.2511413497
190	0.2511362034
191	0.2511305815
192	0.2511269995
193	0.2511206776
194	0.2511175732
195	0.2511118723
196	0.2511106051
197	0.251107706
198	0.2511033689
199	0.2511013677
200	0.251097395
201	0.2510895418
202	0.2510878455
203	0.2510842464
204	0.2510806057
205	0.251079703
206	0.2510757252
207	0.2510681302
208	0.2510635012
209	0.2510574176
210	0.2510574175
211	0.2510556971
212	0.251050575
213	0.2510493701
214	0.2510490009
215	0.2510489985
216	0.2510471303
217	0.2510413792
218	0.2510349097
219	0.2510312791
220	0.251028413
221	0.2510277797
222	0.2510222003
223	0.2510161951
224	0.2510146176
225	0.2510096182
226	0.2510078232
227	0.2510035631
228	0.2509981617
229	0.250990619
230	0.2509906188
231	0.2509843562
232	0.2509843559
233	0.2509827909
234	0.2509804173
235	0.2509792518
236	0.2509773853
237	0.2509771066
238	0.2509735602
239	0.2509688799
240	0.2509668341
241	0.2509598075
242	0.2509591594
243	0.2509533349
244	0.2509467837
245	0.2509444221
246	0.2509387797
247	0.2509369305
248	0.250934949
249	0.2509289576
250	0.2509244448
251	0.2509203904
252	0.2509157472
253	0.2509101704
254	0.2509071421
255	0.2509037481
256	0.2509005864
257	0.2508956586
258	0.2508939372
259	0.2508878908
260	0.2508867679
261	0.2508830448
262	0.2508743254
263	0.2508713811
264	0.2508693145
265	0.2508692291
266	0.2508673928
267	0.2508623745
268	0.2508611833
269	0.2508566084
270	0.2508542555
271	0.2508522317
272	0.2508500596
273	0.2508499762
274	0.2508491607
275	0.2508475818
276	0.2508428898
277	0.2508401875
278	0.2508372986
279	0.2508330957
280	0.2508293584
281	0.2508249018
282	0.2508249017
283	0.2508212594
284	0.2508158019
285	0.2508048661
286	0.2508001622
287	0.2507966187
288	0.2507910358
289	0.2507837783
290	0.2507785997
291	0.2507750064
292	0.2507711338
293	0.2507680118
294	0.2507604843
295	0.2507593241
296	0.2507520355
297	0.2507502834
298	0.2507483236
299	0.2507480926
300	0.2507446241
301	0.2507412643
302	0.2507329338
303	0.250729714
304	0.2507251963
305	0.250724298
306	0.2507162709
307	0.2507123712
308	0.2507058957
309	0.2507017754
310	0.2506980026
311	0.2506953039
312	0.2506920103
313	0.2506911331
314	0.2506882555
315	0.2506845159
316	0.2506772881
317	0.2506762191
318	0.2506692561
319	0.250665754
320	0.250660975
321	0.2506600408
322	0.250655823
323	0.2506548834
324	0.2506523425
325	0.2506491216
326	0.2506417273
327	0.2506367718
328	0.2506309007
329	0.2506248312
330	0.2506222359
331	0.2506196927
332	0.2506188409
333	0.2506158069
334	0.2506106904
335	0.2506086224
336	0.2506037762
337	0.2506009836
338	0.2505967315
339	0.2505918269
340	0.2505917853
341	0.2505856632
342	0.2505850731
343	0.2505815889
344	0.2505776366
345	0.2505747375
346	0.2505726718
347	0.2505684226
348	0.2505680121
349	0.2505650262
350	0.2505600574
351	0.2505556832
352	0.2505521859
353	0.2505512347
354	0.2505477718
355	0.250545397
356	0.250543106
357	0.2505367951
358	0.2505347785
359	0.2505326504
360	0.2505282048
361	0.2505246678
362	0.250522821
363	0.2505212468
364	0.2505198281
365	0.2505120125
366	0.2505045755
367	0.2505031633
368	0.2505019576
369	0.2504991589
370	0.2504905325
371	0.2504865502
372	0.25048608
373	0.2504848815
374	0.2504814876
375	0.2504770261
376	0.2504750471
377	0.250475001
378	0.2504746533
379	0.2504702925
380	0.2504685222
381	0.2504641953
382	0.2504628958
383	0.25045945
384	0.2504590431
385	0.2504526006
386	0.2504508282
387	0.2504440712
388	0.2504398653
389	0.2504333162
390	0.2504330299
