iter	Passed	Remaining
0	1083	1082015
1	1813	904704
2	2652	881508
3	3309	824040
4	4051	806304
5	4815	797737
6	5542	786217
7	6291	780101
8	6845	753776
9	7613	753747
10	8380	753516
11	9066	746470
12	9640	731955
13	10400	732519
14	11202	735616
15	11878	730554
16	12625	730074
17	13295	725332
18	13892	717302
19	14589	714879
20	15352	715724
21	16030	712624
22	16719	710227
23	17461	710085
24	18148	707803
25	18815	704875
26	19534	703964
27	20253	703082
28	20868	698726
29	21522	695889
30	22136	691948
31	22888	692389
32	23675	693753
33	24328	691214
34	25030	690116
35	25739	689244
36	26486	689376
37	27186	688249
38	27948	688679
39	28704	688905
40	29485	689662
41	30212	689124
42	30883	687333
43	31557	685654
44	32176	682847
45	32887	682064
46	33455	678367
47	34121	676743
48	34857	676513
49	35522	674936
50	36228	674126
51	36932	673304
52	37734	674231
53	38482	674158
54	39178	673153
55	39899	672596
56	40681	673028
57	41405	672488
58	42106	671556
59	42913	672312
60	43639	671769
61	44451	672505
62	45229	672702
63	45878	670970
64	46636	670850
65	47246	668607
66	47841	666211
67	48603	666155
68	49307	665288
69	50096	665573
70	50736	663857
71	51507	663875
72	52272	663783
73	52867	661564
74	53576	660770
75	54392	661292
76	55196	661635
77	55978	661697
78	56698	661000
79	57391	660000
80	58143	659676
81	58813	658425
82	59609	658580
83	60322	657800
84	61101	657734
85	61865	657496
86	62634	657307
87	63455	657629
88	64236	657520
89	65036	657592
90	65905	658330
91	66711	658411
92	67529	658589
93	68458	659819
94	69294	660125
95	70196	661016
96	71023	661176
97	71839	661217
98	72553	660313
99	73389	660508
100	74098	659553
101	74816	658681
102	75629	658637
103	76426	658445
104	77056	656813
105	77737	655638
106	78440	654647
107	79053	652925
108	80081	654614
109	80926	654767
110	81656	653984
111	82407	653373
112	83307	653929
113	83885	651950
114	84633	651307
115	85436	651087
116	86350	651688
117	87022	650453
118	87701	649283
119	88429	648481
120	89136	647528
121	89762	645998
122	90489	645198
123	91277	644828
124	91616	641318
125	92069	638642
